Order ID,Customer ID,Order Date,Order Status,Subtotal (inc tax),Subtotal (ex tax),Tax Total,Shipping Cost (inc tax),Shipping Cost (ex tax),Ship Method,Handling Cost (inc tax),Handling Cost (ex tax),Store Credit Redeemed,Gift Certificate Amount Redeemed,Gift Certificate Code,Gift Certificate Expiration Date,Coupon Details,Order Total (inc tax),Order Total (ex tax),Payment Method,Total Quantity,Total Shipped,Date Shipped,Order Currency Code,Exchange Rate,Order Notes,Customer Message,Billing Company,Billing Suburb,Billing State,Billing Zip,Billing Country,Billing Preferred method of contact,Billing How many adults over 18 live in your household?,Billing How many children under 18 live in your household?,Shipping Company,Shipping Suburb,Shipping State,Shipping Zip,Shipping Country,Shipping Preferred method of contact,Shipping How many adults over 18 live in your household?,Shipping How many children under 18 live in your household?,Product Details,Refund Amount
100,6,17/06/2021,Completed,30.48,30.48,0,0,0,Local Pickup,0,0,0,0,,,,30.48,30.48,PayPal,40,0,2/7/2021,USD,1,,,,Evansville,IN,47713,United States,Email,,,,Evansville,IN,47713,United States,Email,,,"Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 6.00, Product Total Price: 6.00|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Frozen Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.50, Product Total Price: 10.50|Product ID: 289, Product Qty: 1, Product SKU: , Product Name: Grain / Bean Box, Product Weight: 144.0000, Product Variation Details: Brown Lentils - Dry: Included, Garbanzo Beans - Dry: Included, Pinto Beans - Dry: Included, Kidney Beans - Dry: Included, White Beans - Dry - 1 lb.: Included, Quinoa - 1 lb.: Included, Cous-Cous - 1 lb.: Included, Brown Rice - 1 lb.: Included, Barley - 1 lb.: Included, Product Unit Price: 6.16, Product Total Price: 6.16|Product ID: 299, Product Qty: 1, Product SKU: , Product Name: Flavor Box, Product Weight: 60.0000, Product Variation Details: Olive Oil (EVOO) - 14 oz.: Included, Balsamic Vinegar - 14 oz.: Included, Apple Cider Vinegar - 14 oz.: Included, Maple Syrup - 14 oz.: Included, Soy Sauce Kikkoman: Included, Basil Leaf - 1/2 oz: Included, Ground Cumin - 1 oz.: Included, Smoked Paprika - 1/2 oz.: Included, Curry Powder - 1 oz.: Included, Oregano Leaf Mexican - 1/2 oz.: Included, Dill Weed - 1/2 oz.: Included, Product Unit Price: 7.82, Product Total Price: 7.82",0
101,11,23/06/2021,Completed,63.69,63.69,0,0,0,Local Pickup,0,0,0,0,,,,63.69,63.69,PayPal,57,0,2/7/2021,USD,1,,,Urban Seeds ,richland ,IN,47634,United States,Text Message,,,Urban Seeds ,richland ,IN,47634,United States,Text Message,,,"Product ID: 241, Product Qty: 1, Product SKU: , Product Name: Breakfast Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, Colby and Monterey Jack Cheese, 8 oz. Block: Included, One Dozen Eggs: Included, Stick Butter: Included, One Pound Bisquick Baking Mix: Included, One Pound Frozen Blueberries: Included, One Pound Cheerios Cereal: Included, One Pound Rolled Oats: Included, Product Unit Price: 11.96, Product Total Price: 11.96|Product ID: 243, Product Qty: 1, Product SKU: , Product Name: Dairy / Egg Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, 32 oz. Plain Yogurt: Included, One Pound Unsalted Butter: Included, 16 oz. Sour Cream: Included, 16 oz. Cottage Cheese: Included, 1 lb. Colby Jack Cheese: Included, 1 lb. Mozzarella Cheese: Included, One Dozen Eggs: Included, Product Unit Price: 9.12, Product Total Price: 9.12|Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07",0
102,15,23/06/2021,Completed,60.19,60.19,0,0,0,Local Pickup,0,0,0,0,,,,60.19,60.19,PayPal,56,0,2/7/2021,USD,1,,,a friend,Evansville,IN,47710,United States,Text Message,,,a friend,Evansville,IN,47710,United States,Text Message,,,"Product ID: 241, Product Qty: 1, Product SKU: , Product Name: Breakfast Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, Colby and Monterey Jack Cheese, 8 oz. Block: Included, One Dozen Eggs: Included, Stick Butter: Included, One Pound Bisquick Baking Mix: Included, One Pound Frozen Blueberries: Included, One Pound Cheerios Cereal: Included, One Pound Rolled Oats: Included, Product Unit Price: 11.96, Product Total Price: 11.96|Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69|Product ID: 265, Product Qty: 1, Product SKU: , Product Name: Italian Dinner Box, Product Weight: 16.0000, Product Variation Details: Whole Grain Spaghetti Noodles - 16 oz.: Included, Ground Beef - 1 lb.: Included, Marinara Sauce - 14 oz.: Included, Premade Pizza Crust - 16 in.: Included, 8 oz. Mozarella Cheese: Included, 8 oz. Grated Parmesan Cheese: Included, Jar of Pizza Sauce: Included, Product Unit Price: 5.62, Product Total Price: 5.62|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07",0
103,17,24/06/2021,Completed,42.61,42.61,0,0,0,Local Pickup,0,0,0,0,,,,42.61,42.61,PayPal,39,0,2/7/2021,USD,1,,,,Evansville,IN,47714,United States,Text Message,,,,Evansville,IN,47714,United States,Text Message,,,"Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07",0
104,13,24/06/2021,Completed,51.73,51.73,0,0,0,Local Pickup,0,0,0,0,,,,51.73,51.73,PayPal,48,0,2/7/2021,USD,1,,,My occupational therapist ,Evansville,IN,47720,United States,Text Message,,,My occupational therapist ,Evansville,IN,47720,United States,Text Message,,,"Product ID: 243, Product Qty: 1, Product SKU: , Product Name: Dairy / Egg Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, 32 oz. Plain Yogurt: Included, One Pound Unsalted Butter: Included, 16 oz. Sour Cream: Included, 16 oz. Cottage Cheese: Included, 1 lb. Colby Jack Cheese: Included, 1 lb. Mozzarella Cheese: Included, One Dozen Eggs: Included, Product Unit Price: 9.12, Product Total Price: 9.12|Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07",0
105,19,24/06/2021,Completed,108.42,108.42,0,0,0,Local Pickup,0,0,0,0,,,,108.42,108.42,PayPal,103,0,2/7/2021,USD,1,,,,Wadesville,IN,47638,United States,Text Message,,,friend,Evansville,IN,47712,United States,Text Message,,,"Product ID: 241, Product Qty: 1, Product SKU: , Product Name: Breakfast Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, Colby and Monterey Jack Cheese, 8 oz. Block: Included, One Dozen Eggs: Included, Stick Butter: Included, One Pound Bisquick Baking Mix: Included, One Pound Frozen Blueberries: Included, One Pound Cheerios Cereal: Included, One Pound Rolled Oats: Included, Product Unit Price: 11.96, Product Total Price: 11.96|Product ID: 243, Product Qty: 1, Product SKU: , Product Name: Dairy / Egg Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, 32 oz. Plain Yogurt: Included, One Pound Unsalted Butter: Included, 16 oz. Sour Cream: Included, 16 oz. Cottage Cheese: Included, 1 lb. Colby Jack Cheese: Included, 1 lb. Mozzarella Cheese: Included, One Dozen Eggs: Included, Product Unit Price: 9.12, Product Total Price: 9.12|Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 2, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 21.96|Product ID: 258, Product Qty: 2, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 29.38|Product ID: 265, Product Qty: 2, Product SKU: , Product Name: Italian Dinner Box, Product Weight: 16.0000, Product Variation Details: Whole Grain Spaghetti Noodles - 16 oz.: Included, Ground Beef - 1 lb.: Included, Marinara Sauce - 14 oz.: Included, Premade Pizza Crust - 16 in.: Included, 8 oz. Mozarella Cheese: Included, 8 oz. Grated Parmesan Cheese: Included, Jar of Pizza Sauce: Included, Product Unit Price: 5.62, Product Total Price: 11.24|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07|Product ID: 299, Product Qty: 1, Product SKU: , Product Name: Flavor Box, Product Weight: 60.0000, Product Variation Details: Olive Oil (EVOO) - 14 oz.: Included, Balsamic Vinegar - 14 oz.: Included, Apple Cider Vinegar - 14 oz.: Included, Maple Syrup - 14 oz.: Included, Soy Sauce: Included, Basil Leaf - 1 oz: Included, Ground Cumin - 1 oz.: Included, Smoked Paprika - 1 oz.: Included, Curry Powder - 1 oz.: Included, Oregano Leaf Mexican - 1 oz.: Included, Dill Weed - 1 oz.: Included, Product Unit Price: 7.82, Product Total Price: 7.82",0
106,20,24/06/2021,Completed,51.66,51.66,0,0,0,Local Pickup,0,0,0,0,,,,51.66,51.66,PayPal,57,0,2/7/2021,USD,1,,,Crystal Nellis,Evansville,IN,47711,United States,Text Message,,,Crystal Nellis,Evansville,IN,47711,United States,Text Message,,,"Product ID: 241, Product Qty: 1, Product SKU: , Product Name: Breakfast Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, Colby and Monterey Jack Cheese, 8 oz. Block: Included, One Dozen Eggs: Included, Stick Butter: Included, One Pound Bisquick Baking Mix: Included, One Pound Frozen Blueberries: Included, One Pound Cheerios Cereal: Included, One Pound Rolled Oats: Included, Product Unit Price: 11.96, Product Total Price: 11.96|Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 265, Product Qty: 1, Product SKU: , Product Name: Italian Dinner Box, Product Weight: 16.0000, Product Variation Details: Whole Grain Spaghetti Noodles - 16 oz.: Included, Ground Beef - 1 lb.: Included, Marinara Sauce - 14 oz.: Included, Premade Pizza Crust - 16 in.: Included, 8 oz. Mozarella Cheese: Included, 8 oz. Grated Parmesan Cheese: Included, Jar of Pizza Sauce: Included, Product Unit Price: 5.62, Product Total Price: 5.62|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07|Product ID: 289, Product Qty: 1, Product SKU: , Product Name: Grain / Bean Box, Product Weight: 144.0000, Product Variation Details: Brown Lentils - Dry: Included, Garbanzo Beans - Dry: Included, Pinto Beans - Dry: Included, Kidney Beans - Dry: Included, White Beans - Dry - 1 lb.: Included, Quinoa - 1 lb.: Included, Cous-Cous - 1 lb.: Included, Brown Rice - 1 lb.: Included, Barley - 1 lb.: Included, Product Unit Price: 6.16, Product Total Price: 6.16",0
107,29,24/06/2021,Completed,71.56,71.56,0,0,0,Local Pickup,0,0,0,0,,,,71.56,71.56,PayPal,66,0,2/7/2021,USD,1,,,- None -,Evansville,IN,47711,United States,Text Message,,,- None -,Evansville,IN,47711,United States,Text Message,,,"Product ID: 241, Product Qty: 1, Product SKU: , Product Name: Breakfast Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon Whole Milk, Colby and Monterey Jack Cheese, 8 oz. Block: Included, One Dozen Eggs: Included, Stick Butter: Included, One Pound Bisquick Baking Mix: Included, One Pound Frozen Blueberries: Included, One Pound Cheerios Cereal: Included, One Pound Rolled Oats: Included, Product Unit Price: 11.96, Product Total Price: 11.96|Product ID: 243, Product Qty: 1, Product SKU: , Product Name: Dairy / Egg Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon Whole Milk, 32 oz. Plain Yogurt: Included, One Pound Unsalted Butter: Included, 16 oz. Sour Cream: Included, 16 oz. Cottage Cheese: Included, 1 lb. Colby Jack Cheese: Included, 1 lb. Mozzarella Cheese: Included, One Dozen Eggs: Included, Product Unit Price: 9.12, Product Total Price: 9.12|Product ID: 248, Product Qty: 2, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 15.74|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07",0
108,30,24/06/2021,Completed,18.85,18.85,0,0,0,Local Pickup,0,0,0,0,,,,18.85,18.85,PayPal,18,0,2/7/2021,USD,1,,,feed evansville facebook page ,evansville ,IN,47711,United States,Email,,,feed evansville facebook page ,evansville ,IN,47711,United States,Email,,,"Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98",0
109,31,24/06/2021,Completed,25.01,25.01,0,0,0,Local Pickup,0,0,0,0,,,,25.01,25.01,PayPal,28,0,2/7/2021,USD,1,,,lisa vaughn ,evansville,IN,47715,United States,Text Message,,,lisa vaughn ,evansville,IN,47715,United States,Text Message,,,"Product ID: 248, Product Qty: 1, Product SKU: , Product Name: Fresh Vegetable Box, Product Weight: 10.0000, Product Variation Details: Broccoli Florets: Included, Head of Cauliflower: Included, Head of Cabbage: Included, 1 lb. Whole Carrots: Included, 12 oz. Bag Spinach: Included, Yellow Onion - 2 Count: Included, Sweet Potato - 4 Count: Included, Bell Pepper: Included, Product Unit Price: 7.87, Product Total Price: 7.87|Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 289, Product Qty: 1, Product SKU: , Product Name: Grain / Bean Box, Product Weight: 144.0000, Product Variation Details: Brown Lentils - Dry: Included, Garbanzo Beans - Dry: Included, Pinto Beans - Dry: Included, Kidney Beans - Dry: Included, White Beans - Dry - 1 lb.: Included, Quinoa - 1 lb.: Included, Cous-Cous - 1 lb.: Included, Brown Rice - 1 lb.: Included, Barley - 1 lb.: Included, Product Unit Price: 6.16, Product Total Price: 6.16",0
