"","Order.ID","Customer.ID","Order.Date","Order.Status","Subtotal..inc.tax.","Subtotal..ex.tax.","Tax.Total","Shipping.Cost..inc.tax.","Shipping.Cost..ex.tax.","Ship.Method","Handling.Cost..inc.tax.","Handling.Cost..ex.tax.","Store.Credit.Redeemed","Gift.Certificate.Amount.Redeemed","Gift.Certificate.Code","Gift.Certificate.Expiration.Date","Coupon_Details","Order.Total..inc.tax.","Order.Total..ex.tax.","Payment.Method","Total.Quantity","Total.Shipped","Date.Shipped","Order.Currency.Code","Exchange.Rate","Order.Notes","Customer.Message","Billing.Company","Billing.Suburb","Billing.State","Billing.Zip","Billing.Country","Billing.Preferred.method.of.contact","Billing.How.many.adults.over.18.live.in.your.household.","Billing.How.many.children.under.18.live.in.your.household.","Shipping.Company","Shipping.Suburb","Shipping.State","Shipping.Zip","Shipping.Country","Shipping.Preferred.method.of.contact","Shipping.How.many.adults.over.18.live.in.your.household.","Shipping.How.many.children.under.18.live.in.your.household.","Product.Details","Refund.Amount"
"1",115,4,"25/06/2021","Completed",14.69,14.69,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 14.69",0,0,"",9,0,"2/7/2021","USD",1,"","","","Evansville","IN","47713","United States","Text Message",NA,NA,"","Evansville","IN","47713","United States","Text Message",NA,NA,"Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69",0
"2",137,4,"6/7/2021","Completed",29.38,29.38,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 29.38",0,0,"",18,0,"16/07/2021","USD",1,"","","","Evansville","IN","47713","United States","Text Message",NA,NA,"","Evansville","IN","47713","United States","Text Message",NA,NA,"Product ID: 258, Product Qty: 2, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 29.38",0
"3",144,5,"9/7/2021","Cancelled",16.6,16.6,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 16.60",0,0,"",17,0,"","USD",1,"","","Urban Seeds","Evansville","IN","47715","United States","Email",NA,NA,"Urban Seeds","Evansville","IN","47715","United States","Email",NA,NA,"Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 265, Product Qty: 1, Product SKU: , Product Name: Italian Dinner Box, Product Weight: 16.0000, Product Variation Details: Whole Grain Spaghetti Noodles - 16 oz.: Included, Ground Beef - 1 lb.: Included, Marinara Sauce - 14 oz.: Included, Premade Pizza Crust - 16 in.: Included, 8 oz. Mozarella Cheese: Included, 8 oz. Grated Parmesan Cheese: Included, Jar of Pizza Sauce: Included, Product Unit Price: 5.62, Product Total Price: 5.62",0
"4",145,61,"9/7/2021","Cancelled",17.14,17.14,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 17.14",0,0,"",19,0,"","USD",1,"","","","Evansville","IN","47710","United States","Text Message",NA,NA,"","Evansville","IN","47710","United States","Text Message",NA,NA,"Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 289, Product Qty: 1, Product SKU: , Product Name: Grain / Bean Box, Product Weight: 144.0000, Product Variation Details: Brown Lentils - Dry: Included, Garbanzo Beans - Dry: Included, Pinto Beans - Dry: Included, Kidney Beans - Dry: Included, White Beans - Dry - 1 lb.: Included, Quinoa - 1 lb.: Included, Cous-Cous - 1 lb.: Included, Brown Rice - 1 lb.: Included, Barley - 1 lb.: Included, Product Unit Price: 6.16, Product Total Price: 6.16",0
"5",146,49,"9/7/2021","Cancelled",7.82,7.82,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 7.82",0,0,"",12,0,"","USD",1,"","","","Evansville","IN","47715","United States","Text Message",NA,NA,"","Evansville","IN","47715","United States","Text Message",NA,NA,"Product ID: 299, Product Qty: 1, Product SKU: , Product Name: Flavor Box, Product Weight: 60.0000, Product Variation Details: Olive Oil (EVOO) - 12 oz.: Included, Balsamic Vinegar - 5 oz.: Included, Apple Cider Vinegar - 5 oz.: Included, Maple Syrup - 14 oz.: Included, Soy Sauce - 5 oz.: Included, Basil Leaf - 1 oz: Included, Ground Cumin - 1 oz.: Included, Smoked Paprika - 1 oz.: Included, Curry Powder - 1 oz.: Included, Oregano Leaf Mexican - 1 oz.: Included, Dill Weed - 1 oz.: Included, Product Unit Price: 7.82, Product Total Price: 7.82",0
"6",147,5,"9/7/2021","Cancelled",10.98,10.98,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 10.98",0,0,"",9,0,"","USD",1,"","","Urban Seeds","Evansville","IN","47715","United States","Email",NA,NA,"Urban Seeds","Evansville","IN","47715","United States","Email",NA,NA,"Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98",0
"7",150,43,"10/7/2021","Completed",25.67,25.67,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 25.67",0,0,"",18,0,"16/07/2021","USD",1,"","","Facebook","Evansville","IN","47711","United States","Text Message",NA,NA,"","Evansville","IN","47711","United States","Text Message",NA,NA,"Product ID: 255, Product Qty: 1, Product SKU: , Product Name: Fresh Fruit Box, Product Weight: 10.0000, Product Variation Details: Bag Red Seedless Grapes: Indluded, 1 lb. Strawberries: Included, 1 lb. Fresh Blueberries: Included, Gala Apples - 6 Count: Included, 1 Bunch Bananas: Included, Oranges - 6 Count: Included, Lemons - 3 Count: Included, Bartlett Pears - 4 Count: Bartlett Pear - 4 Count, Product Unit Price: 10.98, Product Total Price: 10.98|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69",0
"8",151,75,"10/7/2021","Completed",49.69,49.69,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 49.69",0,0,"",46,0,"16/07/2021","USD",1,"","","Feed Evansville","Evansville","IN","47725","United States","Text Message",NA,NA,"Feed Evansville","Evansville","IN","47725","United States","Text Message",NA,NA,"Product ID: 258, Product Qty: 2, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 29.38|Product ID: 265, Product Qty: 2, Product SKU: , Product Name: Italian Dinner Box, Product Weight: 16.0000, Product Variation Details: Whole Grain Spaghetti Noodles - 16 oz.: Included, Ground Beef - 1 lb.: Included, Marinara Sauce - 14 oz.: Included, Premade Pizza Crust - 16 in.: Included, 8 oz. Mozarella Cheese: Included, 8 oz. Grated Parmesan Cheese: Included, Jar of Pizza Sauce: Included, Product Unit Price: 5.62, Product Total Price: 11.24|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 8&quot; Tortillas - Frozen 10 Count: Included, Taco Shells: Included, 1 lb. Ground Turkey: Included, Diced Chicken Breast, Cooked - 1 lb.: Included, Salsa - 16 oz.: Included, Colby Jack Cheese - 1 lb.: Included, Corn Chips - 12 oz.: Included, Black Beans 1 Can: Included, Head Lettuce: Included, Avocado: Included, Pinto Beans 1 Can: Included, Product Unit Price: 9.07, Product Total Price: 9.07",0
"9",153,70,"10/7/2021","Completed",35.77,35.77,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 35.77",0,0,"",27,0,"16/07/2021","USD",1,"","Pick Up At Hope City Church 1001 N Main St Evansville IN 47711","Hope City Church","Evansville","IN","47711","United States","Text Message",NA,NA,"Hope City Church","Evansville","IN","47711","United States","Text Message",NA,NA,"Product ID: 241, Product Qty: 1, Product SKU: , Product Name: Breakfast Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, Colby and Monterey Jack Cheese, 8 oz. Block: Included, One Dozen Eggs: Included, Stick Butter: Included, One Pound Bisquick Baking Mix: Included, One Pound Frozen Blueberries: Included, One Pound Cheerios Cereal: Included, One Pound Rolled Oats: Included, Product Unit Price: 11.96, Product Total Price: 11.96|Product ID: 243, Product Qty: 1, Product SKU: , Product Name: Dairy / Egg Box, Product Weight: 10.0000, Product Variation Details: Choice of milk: Gallon 2% Milk, 32 oz. Plain Yogurt: Included, One Pound Unsalted Butter: Included, 16 oz. Sour Cream: Included, 16 oz. Cottage Cheese: Included, 1 lb. Colby Jack Cheese: Included, 1 lb. Mozzarella Cheese: Included, One Dozen Eggs: Included, Product Unit Price: 9.12, Product Total Price: 9.12|Product ID: 258, Product Qty: 1, Product SKU: , Product Name: Meat Box, Product Weight: 10.0000, Product Variation Details: Chicken Breast - 6 Count: Included, 1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included, 1 lb. Ground Turkey: Included, 1 lb. Ground Beef: Included, 1 lb. Sausage: Included, 1 lb. Bacon: Included, 6 Pork Chops: Included, 1 lb. Beef Roast: Included, Product Unit Price: 14.69, Product Total Price: 14.69",0
"10",171,22,"25/07/2021","Completed",22.51,22.51,0,0,0,"Local Pickup",0,0,0,0,"",NA,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 22.51",0,0,"",32,0,"2/8/2021","USD",1,"EBT run 7.27.2021 for $22.51","",".","Evansville","IN","47715","United States","Text Message",NA,NA,".","Evansville","IN","47715","United States","Text Message",NA,NA,"Product ID: 265, Product Qty: 1, Product SKU: , Product Name: Italian Dinner Box, Product Weight: 16.0000, Product Variation Details: 16 oz. Whole Grain Spaghetti Noodles: Included, 1 lb. Ground Beef patties: Included, 14 oz. Jar Marinara Sauce: Included, 16 in. Premade Pizza Crust: Included, 8 oz. Mozarella Cheese: Included, 8 oz. Grated Parmesan Cheese: Included, 14 oz. Jar of Pizza Sauce: Included, Product Unit Price: 5.62, Product Total Price: 5.62|Product ID: 272, Product Qty: 1, Product SKU: , Product Name: Mexican Dinner Box, Product Weight: 16.0000, Product Variation Details: 10, 8&quot; Tortillas - Frozen: Included, 10 Taco Shells: Included, 1 lb. Ground Turkey patties: Included, 1 lb. Diced Chicken Breast, Cooked: Included, 16 oz. Salsa: Included, 1 lb. Colby Jack Cheese: Included, 12 oz. Corn Chips: Included, 1 Can Black Beans: Included, Head of Lettuce: Included, Avocado: Included, 1 Can Pinto Beans: Included, Product Unit Price: 9.07, Product Total Price: 9.07|Product ID: 299, Product Qty: 1, Product SKU: , Product Name: Flavor Box, Product Weight: 60.0000, Product Variation Details: 12 oz. Olive Oil: Included, 5 oz. Balsamic Vinegar: Included, 5 oz. Apple Cider Vinegar: Included, 8 oz. Maple Syrup: Included, 5 oz. Soy Sauce: Included, 1 oz. Basil Leaf: Included, 1 oz. Ground Cumin: Included, 1 oz. Smoked Paprika: Included, 1 oz. Curry Powder: Included, 1 oz. Oregano Leaf Mexican: Included, 1 oz. Dill Weed: Included, Product Unit Price: 7.82, Product Total Price: 7.82",0
