"","Order.ID","Customer.ID","Order.Date","Billing.Suburb","Billing.State","Billing.Zip","ProductID","ProductQty","ProductSKU","ProductName","ProductWeight","ProductUnitPrice","ProductTotalPrice","ProductDetail_1","ProductDetail_2","ProductDetail_3","ProductDetail_4","ProductDetail_5","ProductDetail_6","ProductDetail_7","ProductDetail_8","ProductDetail_9","ProductDetail_10","ProductDetail_11","ProductDetail_12","ProductDetail_13","ProductDetail_14","ProductDetail_15"
"1",100,6,"17/06/2021","Evansville","IN","47713","248","1","","Fresh Vegetable Box","10.0000","6.00","6.00","Broccoli Florets: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","Yellow Onion - 2 Count: Included","Sweet Potato - 4 Count: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
"2",100,6,"17/06/2021","Evansville","IN","47713","255","1","","Fresh Fruit Box","10.0000","10.50","10.50","Bag Red Seedless Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Frozen Blueberries: Included","Gala Apples - 6 Count: Included","1 Bunch Bananas: Included","Oranges - 6 Count: Included","Lemons - 3 Count: Included","Bartlett Pears - 4 Count: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
"3",100,6,"17/06/2021","Evansville","IN","47713","289","1","","Grain / Bean Box","144.0000","6.16","6.16","Brown Lentils - Dry: Included","Garbanzo Beans - Dry: Included","Pinto Beans - Dry: Included","Kidney Beans - Dry: Included","White Beans - Dry - 1 lb.: Included","Quinoa - 1 lb.: Included","Cous-Cous - 1 lb.: Included","Brown Rice - 1 lb.: Included","Barley - 1 lb.: Included",NA,NA,NA,NA,NA,NA
"4",100,6,"17/06/2021","Evansville","IN","47713","299","1","","Flavor Box","60.0000","7.82","7.82","Olive Oil (EVOO) - 14 oz.: Included","Balsamic Vinegar - 14 oz.: Included","Apple Cider Vinegar - 14 oz.: Included","Maple Syrup - 14 oz.: Included","Soy Sauce Kikkoman: Included","Basil Leaf - 1/2 oz: Included","Ground Cumin - 1 oz.: Included","Smoked Paprika - 1/2 oz.: Included","Curry Powder - 1 oz.: Included","Oregano Leaf Mexican - 1/2 oz.: Included","Dill Weed - 1/2 oz.: Included",NA,NA,NA,NA
"5",101,11,"23/06/2021","richland ","IN","47634","241","1","","Breakfast Box","10.0000","11.96","11.96","Choice of milk: Gallon 2% Milk","Colby and Monterey Jack Cheese","8 oz. Block: Included","One Dozen Eggs: Included","Stick Butter: Included","One Pound Bisquick Baking Mix: Included","One Pound Frozen Blueberries: Included","One Pound Cheerios Cereal: Included","One Pound Rolled Oats: Included",NA,NA,NA,NA,NA,NA
"6",101,11,"23/06/2021","richland ","IN","47634","243","1","","Dairy / Egg Box","10.0000","9.12","9.12","Choice of milk: Gallon 2% Milk","32 oz. Plain Yogurt: Included","One Pound Unsalted Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","One Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
"7",101,11,"23/06/2021","richland ","IN","47634","248","1","","Fresh Vegetable Box","10.0000","7.87","7.87","Broccoli Florets: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","Yellow Onion - 2 Count: Included","Sweet Potato - 4 Count: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
"8",101,11,"23/06/2021","richland ","IN","47634","255","1","","Fresh Fruit Box","10.0000","10.98","10.98","Bag Red Seedless Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","Gala Apples - 6 Count: Included","1 Bunch Bananas: Included","Oranges - 6 Count: Included","Lemons - 3 Count: Included","Bartlett Pears - 4 Count: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
"9",101,11,"23/06/2021","richland ","IN","47634","258","1","","Meat Box","10.0000","14.69","14.69","Chicken Breast - 6 Count: Included","1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included","1 lb. Ground Turkey: Included","1 lb. Ground Beef: Included","1 lb. Sausage: Included","1 lb. Bacon: Included","6 Pork Chops: Included","1 lb. Beef Roast: Included",NA,NA,NA,NA,NA,NA,NA
"10",101,11,"23/06/2021","richland ","IN","47634","272","1","","Mexican Dinner Box","16.0000","9.07","9.07","8&quot; Tortillas - Frozen 10 Count: Included","Taco Shells: Included","1 lb. Ground Turkey: Included","Diced Chicken Breast","Cooked - 1 lb.: Included","Salsa - 16 oz.: Included","Colby Jack Cheese - 1 lb.: Included","Corn Chips - 12 oz.: Included","Black Beans 1 Can: Included","Head Lettuce: Included","Avocado: Included","Pinto Beans 1 Can: Included",NA,NA,NA
"11",102,15,"23/06/2021","Evansville","IN","47710","241","1","","Breakfast Box","10.0000","11.96","11.96","Choice of milk: Gallon 2% Milk","Colby and Monterey Jack Cheese","8 oz. Block: Included","One Dozen Eggs: Included","Stick Butter: Included","One Pound Bisquick Baking Mix: Included","One Pound Frozen Blueberries: Included","One Pound Cheerios Cereal: Included","One Pound Rolled Oats: Included",NA,NA,NA,NA,NA,NA
"12",102,15,"23/06/2021","Evansville","IN","47710","248","1","","Fresh Vegetable Box","10.0000","7.87","7.87","Broccoli Florets: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","Yellow Onion - 2 Count: Included","Sweet Potato - 4 Count: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
"13",102,15,"23/06/2021","Evansville","IN","47710","255","1","","Fresh Fruit Box","10.0000","10.98","10.98","Bag Red Seedless Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","Gala Apples - 6 Count: Included","1 Bunch Bananas: Included","Oranges - 6 Count: Included","Lemons - 3 Count: Included","Bartlett Pears - 4 Count: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
"14",102,15,"23/06/2021","Evansville","IN","47710","258","1","","Meat Box","10.0000","14.69","14.69","Chicken Breast - 6 Count: Included","1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included","1 lb. Ground Turkey: Included","1 lb. Ground Beef: Included","1 lb. Sausage: Included","1 lb. Bacon: Included","6 Pork Chops: Included","1 lb. Beef Roast: Included",NA,NA,NA,NA,NA,NA,NA
"15",102,15,"23/06/2021","Evansville","IN","47710","265","1","","Italian Dinner Box","16.0000","5.62","5.62","Whole Grain Spaghetti Noodles - 16 oz.: Included","Ground Beef - 1 lb.: Included","Marinara Sauce - 14 oz.: Included","Premade Pizza Crust - 16 in.: Included","8 oz. Mozarella Cheese: Included","8 oz. Grated Parmesan Cheese: Included","Jar of Pizza Sauce: Included",NA,NA,NA,NA,NA,NA,NA,NA
"16",102,15,"23/06/2021","Evansville","IN","47710","272","1","","Mexican Dinner Box","16.0000","9.07","9.07","8&quot; Tortillas - Frozen 10 Count: Included","Taco Shells: Included","1 lb. Ground Turkey: Included","Diced Chicken Breast","Cooked - 1 lb.: Included","Salsa - 16 oz.: Included","Colby Jack Cheese - 1 lb.: Included","Corn Chips - 12 oz.: Included","Black Beans 1 Can: Included","Head Lettuce: Included","Avocado: Included","Pinto Beans 1 Can: Included",NA,NA,NA
"17",103,17,"24/06/2021","Evansville","IN","47714","248","1","","Fresh Vegetable Box","10.0000","7.87","7.87","Broccoli Florets: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","Yellow Onion - 2 Count: Included","Sweet Potato - 4 Count: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
"18",103,17,"24/06/2021","Evansville","IN","47714","255","1","","Fresh Fruit Box","10.0000","10.98","10.98","Bag Red Seedless Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","Gala Apples - 6 Count: Included","1 Bunch Bananas: Included","Oranges - 6 Count: Included","Lemons - 3 Count: Included","Bartlett Pears - 4 Count: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
"19",103,17,"24/06/2021","Evansville","IN","47714","258","1","","Meat Box","10.0000","14.69","14.69","Chicken Breast - 6 Count: Included","1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included","1 lb. Ground Turkey: Included","1 lb. Ground Beef: Included","1 lb. Sausage: Included","1 lb. Bacon: Included","6 Pork Chops: Included","1 lb. Beef Roast: Included",NA,NA,NA,NA,NA,NA,NA
"20",103,17,"24/06/2021","Evansville","IN","47714","272","1","","Mexican Dinner Box","16.0000","9.07","9.07","8&quot; Tortillas - Frozen 10 Count: Included","Taco Shells: Included","1 lb. Ground Turkey: Included","Diced Chicken Breast","Cooked - 1 lb.: Included","Salsa - 16 oz.: Included","Colby Jack Cheese - 1 lb.: Included","Corn Chips - 12 oz.: Included","Black Beans 1 Can: Included","Head Lettuce: Included","Avocado: Included","Pinto Beans 1 Can: Included",NA,NA,NA
"21",104,13,"24/06/2021","Evansville","IN","47720","243","1","","Dairy / Egg Box","10.0000","9.12","9.12","Choice of milk: Gallon 2% Milk","32 oz. Plain Yogurt: Included","One Pound Unsalted Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","One Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
"22",104,13,"24/06/2021","Evansville","IN","47720","248","1","","Fresh Vegetable Box","10.0000","7.87","7.87","Broccoli Florets: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","Yellow Onion - 2 Count: Included","Sweet Potato - 4 Count: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
"23",104,13,"24/06/2021","Evansville","IN","47720","255","1","","Fresh Fruit Box","10.0000","10.98","10.98","Bag Red Seedless Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","Gala Apples - 6 Count: Included","1 Bunch Bananas: Included","Oranges - 6 Count: Included","Lemons - 3 Count: Included","Bartlett Pears - 4 Count: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
"24",104,13,"24/06/2021","Evansville","IN","47720","258","1","","Meat Box","10.0000","14.69","14.69","Chicken Breast - 6 Count: Included","1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included","1 lb. Ground Turkey: Included","1 lb. Ground Beef: Included","1 lb. Sausage: Included","1 lb. Bacon: Included","6 Pork Chops: Included","1 lb. Beef Roast: Included",NA,NA,NA,NA,NA,NA,NA
