"Order.ID","Coupon_Details","Customer.ID","Order.Date","Billing.Suburb","Billing.State","Billing.Zip","ProductID","ProductQty","ProductSKU","ProductName","ProductWeight","ProductUnitPrice","ProductTotalPrice","ProductDetail_1","ProductDetail_2","ProductDetail_3","ProductDetail_4","ProductDetail_5","ProductDetail_6","ProductDetail_7","ProductDetail_8","ProductDetail_9","ProductDetail_10","ProductDetail_11","ProductDetail_12","ProductDetail_13","ProductDetail_14","ProductDetail_15"
1552,"",3,"10/2/2023","Evansville","IN","47715",0,1,"","$500.00 Gift Certificate",0,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 14.69",4,"25/06/2021","Evansville","IN","47713",258,1,"","Meat Box",10,14.69,14.69,"Chicken Breast - 6 Count: Included","1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included","1 lb. Ground Turkey: Included","1 lb. Ground Beef: Included","1 lb. Sausage: Included","1 lb. Bacon: Included","6 Pork Chops: Included","1 lb. Beef Roast: Included",NA,NA,NA,NA,NA,NA,NA
137,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 29.38",4,"6/7/2021","Evansville","IN","47713",258,2,"","Meat Box",10,14.69,29.38,"Chicken Breast - 6 Count: Included","1 lb. Frozen Breaded / Cooked Chicken Breast Tenders: Included","1 lb. Ground Turkey: Included","1 lb. Ground Beef: Included","1 lb. Sausage: Included","1 lb. Bacon: Included","6 Pork Chops: Included","1 lb. Beef Roast: Included",NA,NA,NA,NA,NA,NA,NA
202,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 16.16",4,"13/08/2021","Evansville","IN","47713",258,1,"","Meat Box",10,16.16,16.16,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey patties","frozen: Included","1 lb. Ground Beef patties","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included","1 lb. Beef Roast","frozen: Included"
251,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 10.03",4,"1/10/2021","Evansville","IN","47713",243,1,"","Dairy / Egg Box",10,10.03,10.03,"Choice of milk: Gallon Whole Milk","32 oz. Vanilla Yogurt: Included","1 lb. Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","1 Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
320,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 19.48",4,"6/11/2021","Evansville","IN","47713",306,1,"","Holiday Dinner Box",5,19.48,19.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 16.16",4,"20/12/2021","Evansville","IN","47713",258,1,"","Meat Box",10,16.16,16.16,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
457,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 12.07",4,"15/02/2022","Evansville","IN","47713",255,1,"","Fresh Fruit Box",10,12.07,12.07,"1 lb. Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
553,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 12.07",4,"22/03/2022","Evansville","IN","47713",255,1,"","Fresh Fruit Box",10,12.07,12.07,"1 lb. Grapes: Indluded","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Bartlett Pear - 4 Count",NA,NA,NA,NA,NA,NA,NA
700,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 12.07",4,"6/6/2022","Evansville","IN","47713",255,1,"","Fresh Fruit Bag",10,12.07,12.07,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
903,"Coupon Code: SNAP2020, Coupon Name: SNAP, Coupon Value: 12.07",4,"17/08/2022","Evansville","IN","47713",255,1,"","Fresh Fruit Bag",10,12.07,12.07,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
